conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.755351546836247e+18,Wed Feb 07 22:03:16 +0000 2024,67.0,Betapa Besar Rakyat Menginginkan PERUBAHAN dan Harapan Besar itu ada di Tangan Pak Anies Baswedan https://t.co/f3UhXRXysS,1.755351546836247e+18,https://pbs.twimg.com/amplify_video_thumb/1755351476296441858/img/4hd7ybIf_c1oDG-E.jpg,,in,Kota Makassar, Sulawesi Selata,1.0,4.0,22.0,https://twitter.com/AbdulRachimmks/status/1755351546836246961,1.64109390423697e+18,AbdulRachimmks,
1.7553021833719685e+18,Wed Feb 07 21:48:16 +0000 2024,114.0,@dedesisi Ini juga pas beliau ngelayat ke pejabat yang selalu kritik pak Anies saat jadi Gubernur dan pas ngelayat pak Anies justru cerita yang baik-baik tentang almarhum. https://t.co/UQJGUVgSef,1.7553477744205092e+18,,dedesisi,in,,1.0,0.0,27.0,https://twitter.com/yuutanok/status/1755347774420509133,1.735303064675074e+18,yuutanok,
1.7552453831173123e+18,Wed Feb 07 21:44:47 +0000 2024,98.0,@chitattooes -masih trauma kjadian itu dibawa ke psikolog sama pak anies. Dan semua itu ga kesorot media,1.7553468975215124e+18,,lobus_frontal,in,rasa sesalmu,0.0,0.0,6.0,https://twitter.com/lobus_frontal/status/1755346897521512485,7.968952827514102e+17,lobus_frontal,
1.7553468912468626e+18,Wed Feb 07 21:44:46 +0000 2024,60.0,#KataMerekaKitaKalahMasukPenjara Curangan Pilpres sdh mrk mulai. Harapan mrk gugat curang di bawa ke MK di MK sdh siap paman hakim? TPN Anies hrs slesaikan kecurangan di tempat diduga jika gugatan curang di bawa ke MK Capres 02 atau 03 yg MENANG. 01 selamat tinggal mirip 2019. https://t.co/mg8JWSmoFo,1.7553468912468626e+18,https://pbs.twimg.com/ext_tw_video_thumb/1755339725542674432/pu/img/xlpUA53WpVC66T1m.jpg,,in,Indonesia bkn Negara Komunis ,5.0,6.0,40.0,https://twitter.com/ForRezim/status/1755346891246862631,1.4826005566694605e+18,ForRezim,
1.7552453831173123e+18,Wed Feb 07 21:43:48 +0000 2024,225.0,@chitattooes Kjadian bawaslu 2019.. Pak anies ikut memandikan jenazah korban bernama adam. Pas jenazah harun al rasyid pak anies gabisa datang tapi beliau diam2 mengerahkan camat walikota untuk membantu keluarga korban. Pak anies ke rumah alm harun pagi pagi sesudah subuh adek harun yang -,1.7553466490509967e+18,,chitattooes,in,rasa sesalmu,2.0,4.0,23.0,https://twitter.com/lobus_frontal/status/1755346649050996804,7.968952827514102e+17,lobus_frontal,
1.7553459176439852e+18,Wed Feb 07 21:40:54 +0000 2024,44.0,di follow pak anies bikin semangat... https://t.co/2lv2jJXDE4,1.7553459176439852e+18,https://pbs.twimg.com/ext_tw_video_thumb/1755345881992486912/pu/img/AGHbVYulbg8noIo-.jpg,,in,,0.0,0.0,14.0,https://twitter.com/herculep638/status/1755345917643985112,1.7220146067120947e+18,herculep638,
1.7551831772647388e+18,Wed Feb 07 21:37:45 +0000 2024,56.0,@shallypristine selalu melihat sosok pak anies wah perfect serba bisa serba tau gak ada celah. dan setelah lihat di D Academy jadi tersadarkan lagi gak ada manusia yang sempurna semua mempunyai kekurangan ,1.7553451245304914e+18,,shallypristine,in,,0.0,1.0,3.0,https://twitter.com/palingteguh/status/1755345124530491490,7.811956721166049e+17,palingteguh,
1.7552579086429066e+18,Wed Feb 07 21:35:25 +0000 2024,782.0,@NOTASLIMBOY Itu terjadi di awal setelah debat kedua tapi sekarang sudah pad anyadar ternyata begitulah fenomena nya teman-teman anak-anak saya juga seperti itu. Awalnya ikut kasihan dll tapi setelah mengikuti Desak Anies komen-komen yang ada di Tiktok sekarang berubah.,1.7553445370301893e+18,,NOTASLIMBOY,in,Bogor, Indonesia,1.0,13.0,29.0,https://twitter.com/jumadisubur/status/1755344537030189427,82501579.0,jumadisubur,
1.7552228521549338e+18,Wed Feb 07 21:22:19 +0000 2024,130.0,@ajengcute16__ Kalo 02 asik tentu mereka gak hijrah ke Anies dech... https://t.co/DbZHK3Djn9,1.7553412439898442e+18,https://pbs.twimg.com/ext_tw_video_thumb/1755341153665171456/pu/img/VgMkpkZd6sApya1F.jpg,ajengcute16__,in,,4.0,6.0,22.0,https://twitter.com/julianas17426/status/1755341243989844260,1.6551087592897372e+18,julianas17426,
1.755340667889607e+18,Wed Feb 07 21:20:02 +0000 2024,46.0,HATI² ABAH ABAH MAU DICULIK... Ya Allah... sekarang tiba juga giliran Abah Anies mau di culik ke Rengasdengklok https://t.co/DYPcw9CHpc,1.755340667889607e+18,https://pbs.twimg.com/ext_tw_video_thumb/1755340637141164032/pu/img/1vXNlfbzg-Ec1U2Z.jpg,,in,,1.0,7.0,16.0,https://twitter.com/herculep638/status/1755340667889606972,1.7220146067120947e+18,herculep638,
